Cation,Anion,target
O=C(C[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)c2)cc1)c1ccc([N+](=O)[O-])cc1,[Br-],0.103
F[P-](F)(F)(F)(F)F,F[P-](F)(F)(F)(F)F,0.096
F[P-](F)(F)(F)(F)F,F[P-](F)(F)(F)(F)F,0.095
F[P-](F)(F)(F)(F)F,F[P-](F)(F)(F)(F)F,0.096
F[P-](F)(F)(F)(F)F,F[P-](F)(F)(F)(F)F,0.098
F[B-](F)(F)F,F[B-](F)(F)F,0.094
F[B-](F)(F)F,F[B-](F)(F)F,0.093
F[B-](F)(F)F,F[B-](F)(F)F,0.099
F[B-](F)(F)F,F[B-](F)(F)F,0.101
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)cc2)cc1)c1ccc([N+](=O)[O-])cc1,O=C([O-])C(F)(F)F,>0.3
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)cc2)cc1)c1ccc([N+](=O)[O-])cc1,O=C([O-])C(F)(F)F,>0.3
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)cc2)cc1)c1ccc([N+](=O)[O-])cc1,O=C([O-])C(F)(F)F,>0.3
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)cc2)cc1)c1ccc([N+](=O)[O-])cc1,O=C([O-])C(F)(F)F,>0.3
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)cc2)cc1)c1ccc([N+](=O)[O-])cc1,[Br-],>0.3
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)cc2)cc1)c1ccc([N+](=O)[O-])cc1,[Br-],>0.3
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)cc2)cc1)c1ccc([N+](=O)[O-])cc1,[Br-],>0.3
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc([N+](=O)[O-])cc3)cc2)cc1)c1ccc([N+](=O)[O-])cc1,[Br-],>0.3
F[P-](F)(F)(F)(F)F,F[P-](F)(F)(F)(F)F,>0.3
F[P-](F)(F)(F)(F)F,F[P-](F)(F)(F)(F)F,>0.3
F[P-](F)(F)(F)(F)F,F[P-](F)(F)(F)(F)F,>0.3
F[P-](F)(F)(F)(F)F,F[P-](F)(F)(F)(F)F,>0.3
F[B-](F)(F)F,F[B-](F)(F)F,>0.3
F[B-](F)(F)F,F[B-](F)(F)F,>0.3
F[B-](F)(F)F,F[B-](F)(F)F,>0.3
F[B-](F)(F)F,F[B-](F)(F)F,>0.3
CCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.02001
CCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.019
CCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.01805
CCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,>0.3
CCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCC)c2)cc1,F[P-](F)(F)(F)(F)F,0.02347
CCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCC)c2)cc1,F[P-](F)(F)(F)(F)F,0.02912
CCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCC)c2)cc1,F[P-](F)(F)(F)(F)F,0.0256
CCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCC)c2)cc1,F[P-](F)(F)(F)(F)F,>0.3
