Cation,Anion,target,Cation_Organic,Anion_Organic,both_Organic,only_one_Organic
Cn1cc[n+](CCCCCCCCCC[n+]2ccn(C)c2)c1,O=C1O[C@H]([C@@H](O)CO)C([O-])=C1O,3.1,True,True,True,False
Cn1cc[n+](CCCCCCCCCC[n+]2ccn(C)c2)c1,N[C@@H](Cc1cnc[nH]1)C(=O)[O-],12.9,True,True,True,False
CC(C)C[C@H](N)C(=O)[O-],CC(C)C[C@H](N)C(=O)[O-],12.3,True,True,True,False
CSCC[C@H](N)C(=O)[O-],CSCC[C@H](N)C(=O)[O-],13.9,True,True,True,False
Cn1cc[n+](CCCCCCCCCC[n+]2ccn(C)c2)c1,N[C@@H](Cc1ccccc1)C(=O)[O-],8.5,True,True,True,False
C=Cn1cc[n+](CCCCCCCCC[n+]2ccn(C=C)c2)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,31.698,True,True,True,False
Cn1cc[n+](CCCCCCCC[n+]2ccn(C)c2)c1,O=C1O[C@H]([C@@H](O)CO)C([O-])=C1O,3.6,True,True,True,False
CC(C)C[C@H](N)C(=O)[O-],CC(C)C[C@H](N)C(=O)[O-],12.5,True,True,True,False
CSCC[C@H](N)C(=O)[O-],CSCC[C@H](N)C(=O)[O-],24.2,True,True,True,False
Cn1cc[n+](CCCCCCCC[n+]2ccn(C)c2)c1,N[C@@H](Cc1ccccc1)C(=O)[O-],8.3,True,True,True,False
O=C(NCc1ccccc1)[C@H](Cc1ccccc1)n1cc[n+](Cc2cc(Cn3cc[n+]([C@@H](Cc4ccccc4)C(=O)NCc4ccccc4)c3)cc(C[n+]3ccn([C@@H](Cc4ccccc4)C(=O)NCc4ccccc4)c3)c2)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0048,True,True,True,False
O=C(NCc1ccccc1)[C@H](Cc1ccccc1)n1cc[n+](Cc2cc(Cn3cc[n+]([C@@H](Cc4ccccc4)C(=O)NCc4ccccc4)c3)cc(C[n+]3ccn([C@@H](Cc4ccccc4)C(=O)NCc4ccccc4)c3)c2)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.013,True,True,True,False
O=C(NCc1ccccc1)[C@H](Cc1ccccc1)n1cc[n+](Cc2cc(Cn3cc[n+]([C@@H](Cc4ccccc4)C(=O)NCc4ccccc4)c3)cc(C[n+]3ccn([C@@H](Cc4ccccc4)C(=O)NCc4ccccc4)c3)c2)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.082,True,True,True,False
O=C(NCc1ccccc1)[C@H](Cc1ccccc1)n1cc[n+](Cc2cc(Cn3cc[n+]([C@@H](Cc4ccccc4)C(=O)NCc4ccccc4)c3)cc(C[n+]3ccn([C@@H](Cc4ccccc4)C(=O)NCc4ccccc4)c3)c2)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.044,True,True,True,False
O=C(NCc1ccccc1)[C@H](Cc1ccccc1)n1cc[n+](Cc2cc(Cn3cc[n+]([C@@H](Cc4ccccc4)C(=O)NCc4ccccc4)c3)cc(C[n+]3ccn([C@@H](Cc4ccccc4)C(=O)NCc4ccccc4)c3)c2)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0121,True,True,True,False
O=C(NCc1ccccc1)[C@H](Cc1ccccc1)n1cc[n+](Cc2cc(Cn3cc[n+]([C@@H](Cc4ccccc4)C(=O)NCc4ccccc4)c3)cc(C[n+]3ccn([C@@H](Cc4ccccc4)C(=O)NCc4ccccc4)c3)c2)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.1,True,True,True,False
O=C(NCc1ccccc1)[C@H](Cc1ccccc1)n1cc[n+](Cc2cc(Cn3cc[n+]([C@@H](Cc4ccccc4)C(=O)NCc4ccccc4)c3)cc(C[n+]3ccn([C@@H](Cc4ccccc4)C(=O)NCc4ccccc4)c3)c2)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0121,True,True,True,False
